country,polyarchy,clientelism,corruption,womens_emp,gdp_pc,life_exp,education,region
Mexico,0.671,0.33,0.456,0.661,13.653,74.2,8.03,Latin America
Suriname,0.783,0.616,0.187,0.837,7.671,69.8,NA,Latin America
Sweden,0.914,0.037,0.003,0.951,36.902,80,11.53,The West
Switzerland,0.888,0.061,0.012,0.93,42.208,80.3,12.62,The West
Ghana,0.667,0.529,0.627,0.792,2.869,59.6,5.29,Africa
South Africa,0.745,0.311,0.454,0.873,8.848,55.6,7.44,Africa
Japan,0.84,0.245,0.09,0.783,35.141,81.6,12.69,Asia
Burma/Myanmar,0.095,0.67,0.938,0.292,1.445,58.9,NA,Asia
Russia,0.405,0.507,0.795,0.67,12.168,65.6,9.41,Eastern Europe
Albania,0.407,0.602,0.772,0.67,4.839,75.4,NA,Eastern Europe
Egypt,0.219,0.718,0.789,0.376,5.265,68.5,6.83,Middle East
Yemen,0.269,0.787,0.907,0.251,2.362,63.5,NA,Middle East
Colombia,0.552,0.758,0.379,0.737,8.43,74.2,6.956,Latin America
Poland,0.876,0.164,0.056,0.902,13.161,73.9,8.808,Eastern Europe
Brazil,0.856,0.411,0.519,0.795,8.874,71.2,7.54,Latin America
United States of America,0.871,0.129,0.026,0.888,49.628,77,NA,The West
Portugal,0.876,0.086,0.059,0.913,24.1,76.8,7.34,The West
El Salvador,0.527,0.56,0.723,0.642,3.329,73.1,5.24,Latin America
Bangladesh,0.51,0.448,0.653,0.66,1.632,65.5,4.42,Asia
Bolivia,0.75,0.563,0.7,0.654,3.409,66.5,7.687,Latin America
Haiti,0.436,0.803,0.749,0.441,1.697,57.4,3.454,Latin America
Honduras,0.565,0.851,0.803,0.666,3.433,70.1,5.43,Latin America
Mali,0.511,0.683,0.873,0.735,1.359,53.3,1.18,Africa
Pakistan,0.205,0.714,0.681,0.421,3.061,61,4.22,Asia
Peru,0.416,0.676,0.738,0.669,5.357,74.6,8.34,Latin America
Senegal,0.677,0.709,0.288,0.745,2.325,60.6,2.57,Africa
Sudan,0.133,0.754,0.883,0.181,2.188,63.3,NA,Africa
Vietnam,0.151,0.162,0.467,0.696,2.55,72.2,NA,Asia
Afghanistan,0.072,0.913,0.773,0.052,0.726,54.7,2.507,Asia
Argentina,0.84,0.445,0.39,0.855,12.961,74.2,8.37,Latin America
Ethiopia,0.24,0.298,0.512,0.525,0.684,51.1,NA,Africa
India,0.726,0.476,0.49,0.682,2.626,62.9,4.51,Asia
Kenya,0.377,0.68,0.836,0.583,2.153,54.8,6.08,Africa
North Korea,0.084,0.523,0.822,0.294,1.787,63.9,7.108,Asia
South Korea,0.837,0.317,0.218,0.878,23.488,76.3,12.12,Asia
